task_id,variant_index,pc1,pc2,pc3
arithmetic_reasoning,0,0.20174818716432824,3.056356480039926,2.5576433356525663
arithmetic_reasoning,1,-5.076260109056249,-2.1505994245520905,3.053459262616933
arithmetic_reasoning,2,4.131449955533776,-1.7855685116928055,2.584340490358973
classify_sentiment,0,0.031631432299689656,2.190324429439522,-0.5365692651335805
classify_sentiment,1,-3.215835626865685,-0.2757039308189249,-1.6388380821208848
classify_sentiment,2,3.266792272978634,-2.1840001076946,-0.9164319696186937
compare_approaches,0,0.3853951641989317,4.125576490409678,0.16678723040528967
compare_approaches,1,-4.331970198793139,-0.876814394603303,-0.17356154585357794
compare_approaches,2,4.132945320698337,-0.34369247345972953,-0.7571724445638666
estimate_quantity,0,0.1619918012931192,2.394328514937474,1.1706840283805593
estimate_quantity,1,-3.6684823726167997,-2.274057207426068,0.8000690291455691
estimate_quantity,2,3.1732595381235793,-0.5887138430543238,0.8525289878775387
extract_facts,0,0.10112282896658617,3.2819643668727085,-1.0153204820766835
extract_facts,1,-3.328922692479975,-0.29988410916643665,-1.963342495687808
extract_facts,2,3.4677482412376692,-1.5675080516076507,-1.4820727838429726
identify_fallacy,0,0.31617943800659404,2.5038849957164677,-0.738851590916477
identify_fallacy,1,-2.7637368332028815,-0.5004778843896722,-1.96164508592627
identify_fallacy,2,3.53170712286363,-2.1491569793881014,-1.1223487977081383
logical_deduction,0,0.6534052013077613,2.1276712480221,1.217403487626209
logical_deduction,1,-3.7408532741986185,-2.7732242287116953,1.4665034392614318
logical_deduction,2,2.887953537438924,-1.487828154145684,0.8279425550588331
summarize_paragraph,0,-0.2764762224944698,2.855377667403679,-0.2215239854358151
summarize_paragraph,1,-3.8580866297300864,-0.8532401007299638,-1.6160386168593963
summarize_paragraph,2,3.8172939173263525,-2.4250147914005047,-0.5536447006397482
